# colnames: year,AFG,AGO,ALB,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,FRO,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNG,MOZ,MRT,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE,BHS,GUF,HTI,LCA,AIA,MLT,DMA,SLB,PRI,BRB,JAM,FJI,MTQ,SGP,TON,ASM,VUT,WSM,ESH,VCT,KNA,ANT,VIR,MSR,SPM,ABW,COM,TTO,GRL,TCA,NZL,SJM,FLK,REU,CPV,MYT,MUS,FSM,KIR,MCO,MDV,MHL,MNE,NRU,PLW,PSE,SMR,SSD,SYC,TUV,VAT,BES,BMU,COK,CUW,CYM,GIB,GUM,IMN,MAC,MAF,MNP,NIU,PYF,SHN,SXM,TKL,VGB,WLF
# width: 9,11,11,10,11,10,8,11,10,11,11,11,11,11,12,10,10,10,11,9,11,12,9,9,10,10,11,10,11,13,11,11,11,10,11,10,11,10,11,11,10,10,11,11,11,12,10,11,10,12,10,11,8,10,11,10,11,11,9,10,10,10,11,9,11,9,10,11,10,11,12,13,10,11,11,9,10,11,11,12,11,11,10,11,11,10,10,10,10,10,8,11,10,10,9,10,11,10,11,12,10,11,11,10,11,10,11,11,10,9,11,12,10,11,10,11,10,12,10,11,12,10,11,11,11,10,10,11,12,11,11,11,11,10,10,11,10,9,9,10,10,11,10,11,11,10,11,10,10,10,11,11,11,11,11,11,10,12,11,11,11,11,11,11,11,9,9,11,9,8,9,8,9,10,9,10,9,9,10,9,8,9,9,9,9,8,9,9,8,7,9,9,10,8,8,10,7,7,9,9,9,10,9,9,8,9,8,9,8,8,10,8,11,8,8,6,8,8,8,9,8,8,9,8,9,8,8,7,9,7,8,7,8,8
  year        AFG        AGO       ALB        ARG       ARM     ATG        AUS       AUT        AZE        BDI        BEL        BEN        BFA         BGD       BGR       BHR       BIH        BLR      BLZ        BOL         BRA      BRN      BTN       BWA       CAF        CAN       CHE        CHL          CHN        CIV        CMR        COD       COG        COL       CRI        CUB       CYP        CZE        DEU       DJI       DNK        DOM        DZA        ECU         EGY       ERI        ESP       EST         ETH       FIN        FRA     FRO       GAB        GBR       GEO        GHA        GIN      GLP       GMB       GNB       GNQ        GRC      GRD        GTM      GUY       HKG        HND       HRV        HUN         IDN          IND       IRL        IRN        IRQ      ISL       ISR        ITA        JOR         JPN        KAZ        KEN       KGZ        KHM        KOR       KWT       LAO       LBN       LBR       LBY     LIE        LKA       LSO       LTU      LUX       LVA        MAR       MDA        MDG         MEX       MKD        MLI        MMR       MNG        MOZ       MRT        MWI        MYS       NAM      NCL        NER         NGA       NIC        NLD       NOR        NPL       OMN         PAK       PAN        PER         PHL       PNG        POL        PRK        PRT       PRY       QAT        ROU         RUS        RWA        SAU        SDN        SEN       SLE       SLV        SOM       SRB      STP      SUR       SVK       SVN        SWE       SWZ        SYR        TCD       TGO        THA       TJK       TKM       TLS        TUN        TUR        TWN        TZA        UGA        UKR       URY         USA        UZB        VEN        VNM        YEM        ZAF        ZMB        ZWE      BHS      GUF        HTI      LCA     AIA      MLT     DMA      SLB       PRI      BRB       JAM      FJI      MTQ       SGP      TON     ASM      VUT      WSM      ESH      VCT     KNA      ANT      VIR     MSR    SPM      ABW      COM       TTO     GRL     TCA       NZL    SJM    FLK      REU      CPV      MYT       MUS      FSM      KIR     MCO      MDV     MHL      MNE     NRU     PLW       PSE     SMR        SSD     SYC     TUV   VAT     BES     BMU     COK      CUW     CYM     GIB      GUM     IMN      MAC     MAF     MNP    NIU      PYF    SHN     SXM    TKL     VGB     WLF   
  1813    3280000    1567028    423684     441120    413326   37000     279307   3235063     879960     899097    3368470     636559    1665421    19703488   2208851     64474    851806    2355081    25526    1020302     3670143     2271   392287    115165    479444     687858   1900060     771447    355977887    1088530    1860054    5163819    314465    1206000     59306     581725    184652    5516349   22235459     22848   1098249     106913    2621312     500000     3937022    205010   11952297    334136    12081863   1024040   30443731       0    158227   14263733   1072178    2016034     983959        0    103274    218167     80377    2290112    29409     549520   166034     20097     133229   1227886    3807874    16695262    206065360   6390171    6358418    1059526    61428    209954   19756521     210895    29915872    2041282    2757222    530343    2090000    9395000     81280    470000    320438    313541    232171    5802    1379490    276361    778655   127030    590588    2621312    712558    1616594     6023759    391865    1403398    4234421    612284    2061898    382696     974504     287000    192575        0     854022    12100860    186000    2129272    909763    3922251    311583    13466291     83070    1300718     2003184    754894    9903413    4345000    3094422    185591     14092    6062932    31378723     928368    2058699    4067169    1009886    794264    186765     996147   2147197    22731    80721   2140651    469664    2447906     80333    1305897    1517022    445985    3999057    466629    367215    137262     847999    9960618    2001822    3012835    2233274   11215490     55000     7980135    1919159     775912    5515503    2593000    1521524     909807    1085814    27350        0     635663    24000       0   134072   19950    56998         0    81729    362350   133538        0     30000    18607       0    27791    47195        0    25781   17202        0        0       0      0        0    56346     40970       0       0    127609      0      0        0    55716        0     80886    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1046159   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1814    3280000    1567028    425563     453376    413326   37000     286561   3253881     879960     899097    3377758     636559    1665421    19751048   2205717     64474    851806    2355081    25526    1031341     3779900     2280   392287    114728    479444     704911   1912116     771447    359454102    1088530    1860054    5163819    314465    1206000     59821     584997    184672    5516349   22599394     22848   1106191     104159    2630882     500000     3972792    205010   11987809    334136    12115103   1043646   30557687       0    158227   15105572   1072178    2016034     983959        0    103274    218167     80377    2293227    29409     556570   166034     20163     133481   1227886    3854516    16757588    206545666   6487397    6386850    1064248    61428    209954   19815934     211757    30068506    2041282    2771839    530343    2090000    9395000     81280    470000    322065    313541    232509    5802    1354440    276361    778655   127030    590588    2630882    712558    1625926     6101316    391865    1403398    4122181    613239    2066737    382696     995635     287000    190024        0     854883    12100860    186000    2157302    918145    3916332    312492    13496296     83674    1303032     2027046    754894    9976510    4345000    3122618    178841     14092    6108523    31434539     928368    2063284    4075011    1009886    794264    194532     997700   2147197    22731    80721   2140651    469664    2465415     79913    1310297    1523765    445985    4088313    466629    367215    137262     851807    9978873    2003040    3013824    2213963   11215490     55000     8240464    1919159     767375    5653241    2593000    1528996     923695    1085814    27350        0     647494    24000       0   134072   19950    56998         0    81729    367645   133772        0     30000    18603       0    27791    47187        0    25781   17202        0        0       0      0        0    56346     43284       0       0    123262      0      0        0    55716        0     81868    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1048176   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1815    3280000    1567028    427449     465972    413326   37000     294004   3272809     879960     899097    3387071     636559    1665421    19800902   2202587     64474    851806    2355081    25526    1042499     3892940     2292   392287    114292    479444     722388   1924249     771447    362964264    1088530    1860054    5163819    314465    1206000     60340     588287    184692    5516349   22969286     22848   1114189     101475    2640486     500000     4008887    205010   12023426    334136    12156949   1063628   30672069       0    158227   15997097   1072178    2016034     983959        0    103274    218167     80377    2296346    29409     563680   166034     20246     133733   1227886    3901730    16824830    207045590   6586102    6415409    1068990    61428    209954   19875525     212623    30221918    2041282    2786533    530343    2090000    9395000     81280    470000    323702    313541    232897    5802    1329845    276361    778655   127030    590588    2640486    712558    1635311     6179870    391865    1403398    4012916    614196    2071588    382696    1017225     287000    187506        0     855962    12100860    186000    2185700    926604    3910423    313404    13527230     84282    1305350     2051192    754894   10050147    4345000    3151070    172337     14092    6154457    31504633     928368    2067879    4083486    1009886    794264    202623     999540   2147197    22731    80721   2140651    469664    2483049     79495    1314713    1530538    445985    4179561    466629    367215    137262     855632    9997951    2004565    3014814    2194820   11215490     55000     8509285    1919159     758931    5794419    2593000    1536982     937794    1085814    27350        0     659544    24000       0   134072   19950    56998         0    81729    373018   134006        0     30000    18599       0    27791    47179        0    25781   17202        0        0       0      0        0    56346     45728       0       0    119064      0      0        0    55716        0     82861    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1050356   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1816    3280000    1567028    429344     478918    413326   37000     301640   3291847     879960     899097    3396411     636559    1665421    19853064   2199462     64474    851806    2355081    25526    1053778     4009360     2306   392287    113858    479444     740298   1936459     771447    366508704    1088530    1860054    5163819    314465    1206000     60864     591596    184712    5516349   23345232     22848   1122246      98861    2650125     500000     4045311    205010   12059150    334136    12207525   1083991   30786880       0    158227   16941239   1072178    2016034     983959        0    103274    218167     80377    2299469    29409     570848   166034     20346     133985   1227886    3949521    16897041    207565243   6686310    6444095    1073754    61428    209954   19935296     213492    30376114    2041282    2801306    530343    2090000    9395000     81280    470000    325346    313541    233335    5802    1305696    276361    778655   127030    590588    2650125    712558    1644750     6259437    391865    1403398    3906548    615154    2076450    382696    1039282     287000    185021        0     857260    12100860    186000    2214472    935141    3904522    314318    13559098     84895    1307673     2075625    754894   10124327    4345000    3179783    166069     14092    6200736    31589136     928368    2072485    4092598    1009886    794264    211050    1001670   2147197    22731    80721   2140651    469664    2500810     79079    1319144    1537341    445985    4272845    466629    367215    137262     859475   10017856    2006398    3015804    2175841   11215490     55000     8786876    1919159     750581    5939122    2593000    1545491     952109    1085814    27350        0     671819    24000       0   134072   19950    56998         0    81729    378470   134241        0     30000    18595       0    27791    47171        0    25781   17202        0        0       0      0        0    56346     48310       0       0    115008      0      0        0    55716        0     83867    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1052700   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1817    3280000    1567028    431248     492224    413326   37000     309474   3310996     879960     899097    3405776     636559    1665421    19907548   2196341     64474    851806    2355081    25526    1065179     4129262     2323   392287    113426    479444     758652   1948747     771447    370087755    1088530    1860054    5163819    314465    1206000     61392     594924    184733    5516349   23727332     22848   1130361      96314    2659800     500000     4082065    205010   12094979    334136    12266954   1104745   30902120       0    158227   17941104   1072178    2016034     983959        0    103274    218167     80377    2302596    29409     578077   166034     20464     134238   1227886    3997899    16974274    208104734   6788042    6472910    1078539    61428    209954   19995247     214364    30531096    2041282    2816156    530343    2090000    9395000     81280    470000    326999    313540    233824    5802    1281986    276361    778655   127030    590588    2659800    712558    1654244     6340027    391865    1403398    3802999    616114    2081323    382696    1061818     287000    182569        0     858779    12100860    186000    2243623    943756    3898631    315235    13591905     85512    1309999     2100350    754894   10199055    4345000    3208756    160029     14092    6247363    31688181     928368    2077101    4102351    1009886    794264    219828    1004090   2147197    22731    80721   2140651    469664    2518697     78665    1323589    1544175    445985    4368212    466629    367215    137262     863334   10038592    2008540    3016795    2157027   11215490     55000     9073523    1919159     742322    6087439    2593000    1554530     966642    1085814    27350        0     684322    24000       0   134072   19950    56998         0    81729    384001   134476        0     30000    18591       0    27791    47163        0    25781   17202        0        0       0      0        0    56346     51038       0       0    111090      0      0        0    55716        0     84885    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1055209   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1818    3280000    1567028    433159     505900    413326   37000     317512   3330256     879960     899097    3415167     636559    1665421    19964367   2193224     64474    851806    2355081    25526    1076703     4252750     2342   392287    112995    479444     777461   1961112     771447    373701758    1088530    1860054    5163819    314465    1206000     61925     598270    184753    5516349   24115685     22848   1138535      93833    2669510     500000     4119153    205010   12130915    334136    12335362   1125896   31017792       0    158227   18999980   1072178    2016034     983959        0    103274    218167     80377    2305728    29409     585366   166034     20600     134492   1227886    4046868    17056581    208664175   6891322    6501854    1083345    61428    209954   20055377     215240    30686869    2041282    2831085    530343    2090000    9395000     81280    470000    328661    313540    234363    5802    1258706    276361    778655   127030    590588    2669510    712558    1663793     6421655    391865    1403398    3702194    617075    2086208    382696    1084843     287000    180150        0     860519    12100860    186000    2273158    952451    3892748    316155    13625655     86134    1312330     2125369    754894   10274334    4345000    3237994    154209     14092    6294341    31801904     928368    2081727    4112747    1009886    794264    228970    1006802   2147197    22731    80721   2140651    469664    2536713     78254    1328049    1551038    445985    4465707    466629    367215    137262     867211   10060164    2010991    3017786    2138376   11215490     55000     9369520    1919159     734155    6239460    2593000    1564103     981398    1085814    27350        0     697058    24000       0   134072   19950    56998         0    81729    389613   134712        0     30000    18587       0    27791    47155        0    25781   17202        0        0       0      0        0    56346     53920       0       0    107306      0      0        0    55716        0     85915    16416    17876    7789    42378    5828   126582    1834    3875    165944    5492    1057883   12522    2499   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1819    3282935    1571640    435086     518837    414085   37000     323943   3349015     881575     901814    3428762     637485    1666600    20023536   2192687     64474    852856    2359403    25528    1087609     4367303     2364   391895    112567    481588     798664   1973259     774943    377149238    1088156    1865014    5179959    315477    1214218     62625     607292    184773    5520440   24488367     22936   1147355      92170    2678262     501646     4151691    206725   12175970    334944    12412876   1146610   31150340       0    158900   19925365   1074146    2015799     984251        0    103330    218115     80538    2312494    29432     592715   165170     20755     135566   1230048    4092356    17144017    209243678   6988457    6530930    1088179    61382    209954   20129529     216414    30818368    2045028    2846094    531316    2090946    9395992     81280    470895    330473    313648    234953    5810    1245181    275555    780957   127781    592524    2678317    713866    1676505     6483214    392555    1404037    3625334    618033    2101716    381978    1108367     288186    177763        0     862482    12109939    186598    2302618    962318    3891014    317075    13660353     86760    1315315     2153243    754951   10350171    4345652    3265271    150507     14092    6341677    31930439     931424    2086367    4123792    1009344    794159    237078    1009810   2146330    22763    80750   2142239    470491    2556937     77844    1332525    1557933    446365    4548116    467485    367889    137625     871727   10082574    2013754    3030649    2128348   11236074     55326     9667277    1922681     730725    6358727    2593945    1574220     996378    1082301    27354        0     708601    24000       0   134232   19970    57121         0    82009    393888   134948        0     30126    18583       0    27846    47147        0    25807   17261        0        0       0      0        0    56370     56403       0       0    104332      0      0        0    55834        0     86841    16432    17893    7808    42428    5855   126980    1834    3879    165944    5501    1060724   12531    2501   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1820    3288817    1580933    437026     530996    415609   37000     328728   3367266     884820     907290    3446611     639344    1668963    20085068   2194738     64474    854961    2368088    25533    1097885     4472454     2388   391114    112139    485925     822390   1985184     782013    380427133    1087409    1875001    5212490    317518    1230935     63498     622317    184793    5528637   24844857     23113   1156833      91318    2686052     504965     4179621    210225   12230231    336571    12499625   1166867   31299931    2478    160259   20706854   1078099    2015328     984835   140562    103443    218011     80861    2322933    29477     600125   163465     20928     137489   1234391    4134289    17236636    209843353   7079278    6560139    1093040    61291    209954   20217832     217889    30925444    2052556    2861182    533272    2092839    9397978     81280    472695    332439    313863    235594    5827    1241422    273955    785594   129306    596429    2686218    716493    1692445     6524512    393941    1405317    3571864    618988    2128167    380549    1132401     290582    175407    39830     864668    12128130    187802    2331997    973385    3893440    317994    13696004     87391    1318957     2184052    755065   10426570    4346956    3290556    148904     14092    6389374    32073923     937586    2091021    4135488    1008261    793950    244089    1013114   2144598    22828    80809   2145419    472152    2579409     77437    1337016    1564858    447125    4615037    469206    369243    138356     876889   10105826    2016828    3055625    2126967   11277431     55987     9966626    1929758     732079    6444528    2595835    1584887    1011587    1075333    27363     6476     718914    24000    3010   134553   20009    57369    248000    82573    396810   135184   126633     30381    18579    3339    27955    47139      752    25859   17380    19068    20294    9930   4006     2465    56417     58458    4974     195    102141    576   1660    81199    56072      102     87663    16464    17928    7846    42528    5910   127783    1835    3886    165944    5518    1063732   12548    2506   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1821    3297661    1594974    438981     542336    417905   37000     331827   3385004     889709     915566    3468762     642142    1672513    20127784   2199384     64474    858129    2381174    25540    1107517     4567718     2415   389944    111714    492502     848776   1996884     792740    383532342    1086290    1890080    5261670    320603    1256439     64547     643693    184813    5540956   25184625     23381   1166978      91267    2692874     509985     4202885    215587   12293786    339025    12595741   1186644   31466736       0    162321   21333398   1084057    2014623     985711        0    103613    217856     81348    2337084    29545     602710   160940     21120     140289   1240934    4172594    17334493    210266730   7163614    6589482    1097929    61153    209954   20320419     219670    31007944    2063898    2876350    536219    2095682    9400956     81280    475406    334559    314186    236287    5852    1247445    271573    792601   131626    602334    2693207    720453    1711680     6545355    396029    1407240    3541246    619941    2165888    378416    1156956     294213    173083        0     867080    12155468    189624    2361287    985679    3900034    318912    13718580     88027    1323262     2217877    755236   10503535    4348913    3313818    149382     14092    6437435    32232494     946905    2095688    4147839    1006639    793636    249940    1019757   2142002    22925    80897   2150200    474655    2604170     77032    1341522    1571814    448269    4666059    471799    371284    139460     882706   10121790    2020215    3092961    2134257   11339751     56993    10267384    1940422     738267    6496134    2598674    1602722    1027028    1064965    27376        0     727964    24000       0   135036   20068    57743         0    83427    398365   135421        0     30767    18575       0    28121    47131        0    25938   17561        0        0       0      0        0    56488     60057       0       0    100705      0      0        0    56430        0     88376    16511    17980    7903    42680    5993   128997    1836    3898    165944    5543    1066909   12575    2514   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1822    3309479    1613834    440950     552814    420982   37000     333197   3402223     896259     926684    3495265     645886    1677255    20170620   2206633     64474    862366    2398703    25549    1116493     4652592     2445   388389    111289    501371     877963   2008356     807205    386461720    1084798    1910321    5327758    324750    1291031     65779     671781    184833    5557411   25507128     23742   1177802      92011    2698723     516734     4221426    222888   12366723    342318    12701357   1205918   31650924       0    165099   21793262   1092037    2013683     986881        0    103839    217648     82001    2354985    29636     605310   157617     21331     143997   1249697    4207196    17437643    210691245   7241288    6618958    1102846    60971    209954   20437423     221762    31065718    2079091    2891598    540166    2099478    9404929     81280    479039    336837    314617    237032    5885    1263271    268419    802014   134767    610273    2699278    725756    1734276     6545545    398826    1409806    3532957    620891    2215215    375585    1182043     299105    170790        0     869718    12191986    192072    2390482    999229    3910806    319831    13741205     88667    1328231     2254800    755465   10581070    4351524    3335027    151928     14092    6485863    32406291     959433    2100370    4160849    1004479    793218    254562    1026458   2138544    23056    81014   2156585    478007    2631258     76629    1346044    1578800    449797    4700759    475272    374017    140942     889184   10137787    2023916    3142907    2150241   11423228     58355    10569360    1954706     749339    6512797    2602463    1620823    1042705    1051251    27393        0     735713    24000       0   135681   20147    58244         0    84576    398537   135658        0     31288    18571       0    28343    47123        0    26043   17803        0        0       0      0        0    56583     61167       0       0    100000      0      0        0    56910        0     88981    16575    18050    7980    42882    6105   130629    1837    3913    165944    5578    1070256   12610    2523   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1823    3324285    1637584    442934     562385    424845   37000     332795   3418916     904484     940688    3526170     650584    1683193    20256293   2216494     64474    867679    2420715    25561    1124802     4726555     2478   386449    110867    512583     910099   2019597     825494    389212084    1082935    1935792    5411019    329976    1335020     67199     706965    184853    5578018   25811809     24198   1189315      93542    2703593     525240     4235184    232208   12449131    346458    12816607   1224666   31852668       0    168608   22073986   1102059    2012508     988344        0    104122    217389     82821    2376676    29750     610509   153516     21562     148643   1260699    4238019    17546141    211540283   7312122    6648570    1107791    60743    209954   20568978     224169    31098612    2098170    2906927    545123    2104227    9409896     81280    483602    339273    315156    237829    5927    1288922    264506    813867   138752    620277    2704427    732416    1760301     6524883    402337    1413017    3546487    621837    2276494    372062    1207675     305283    168527        0     872583    12237721    195157    2419575   1014062    3925767    320749    13786457     89311    1333871     2294908    755750   10659180    4354788    3354149    156529     14092    6534660    32595456     975224    2105066    4174522    1001782    792696    257886    1039860   2134227    23219    81161   2164582    482215    2660715     76228    1350582    1585818    451711    4718706    479633    377449    142807     896334   10169781    2027932    3205719    2174944   11528054     60083    10872345    1972644     765347    6493752    2607203    1657035    1058622    1034247    27414        0     742126    24000       0   136491   20245    58873         0    86024    397309   135896        0     31946    18567       0    28621    47115        0    26175   18109        0        0       0      0        0    56701     61757       0       0    100000      0      0        0    57514        0     89474    16655    18137    8076    43135    6247   132685    1839    3932    165944    5621    1073773   12654    2535   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1824    3339157    1661683    444927     572122    428744   37000     332395   3435691     912784     954903    3557348     655316    1689151    20342329   2226399     64474    873025    2442929    25573    1133172     4801693     2514   384520    110446    524045     943411   2030901     844197    391982022    1081076    1961602    5495580    335286    1380508     68650     743993    184873    5598701   26120130     24662   1200941      95098    2708472     533886     4248987    241918   12532089    350649    12941629   1243706   32055698       0    172192   22358326   1112172    2011334     989809        0    104406    217130     83650    2398567    29865     615753   149522     21812     153439   1271798    4269068    17660044    212392741   7383648    6678314    1112758    60517    209954   20701381     226603    31131540    2117425    2922338    550126    2108988    9414866     81280    488208    341726    315697    238678    5970    1315094    260650    825895   142854    630446    2709586    739137    1786717     6504286    405879    1416236    3560069    622786    2339468    368573    1233862     311589    166293        0     875677    12283627    198292    2449022   1029115    3940784    321669    13831857     89961    1339535     2335728    756036   10737866    4358055    3373382    161270     14092    6583824    32800130     991274    2109772    4188861     999093    792174    261253    1053438   2129918    23384    81308   2172608    486460    2690502     75829    1355134    1592867    453633    4736723    484035    380913    144696     903541   10201876    2032264    3269786    2199932   11633843     61862    11184015    1990746     781696    6474762    2611952    1694055    1074781    1017518    27436        0     748594    24000       0   137305   20345    59510         0    87496    396085   136134        0     32618    18563       0    28902    47107        0    26308   18420        0        0       0      0        0    56820     62352       0       0    100000      0      0        0    58124        0     89970    16736    18224    8174    43390    6392   134772    1840    3951    165944    5665    1077461   12699    2548   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1825    3354095    1686138    446929     582027    432678   37000     331994   3452549     921160     969334    3588801     660082    1695131    20428732   2236347     64474    878403    2465346    25585    1141604     4878026     2552   382600    110027    535764     977943   2042268     863324    394771673    1079219    1987757    5581464    340682    1427545     70132     782959    184893    5623145   26432134     25135   1212680      96680    2713360     542674     4262834    252034   12615600    354891    13076561   1263042   32260022       0    175853   22646329   1122378    2010161     991277        0    104691    216872     84486    2420660    29980     621042   145632     22083     158390   1282994    4300344    17779408    213248635   7455874    6708191    1117748    60291    209954   20834635     229062    31164504    2136855    2937830    555174    2113759    9419838     81280    492858    344197    316238    239580    6012    1341798    256850    838101   147078    640782    2714755    745920    1813529     6483755    409452    1419462    3573704    623735    2404184    365116    1260617     318026    164090        0     879001    12329705    201477    2478828   1044391    3955859    322593    13877407     90615    1345222     2377275    756321   10817133    4361324    3392725    166154     14092    6633359    33020456    1007589    2114488    4203871     996411    791652    264665    1067193   2125618    23549    81455   2180664    490743    2720622     75432    1359702    1599948    455564    4754808    488477    384408    146610     910806   10234073    2036912    3335134    2225207   11740602     63694    11504621    2009014     798395    6455828    2616710    1731903    1091187    1001060    27457        0     755118    24000       0   138124   20444    60153         0    88994    394864   136372        0     33303    18559       0    29186    47099        0    26441   18737        0        0       0      0        0    56939     62953       0       0    100000      0      0        0    58741        0     90468    16817    18312    8273    43646    6541   136893    1842    3970    165944    5708    1081322   12743    2560   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1826    3369101    1710952    448940     592104    436649   37000     331595   3469489     929613     983982    3620533     664884    1701133    20515501   2246341     64474    883815    2487970    25597    1150099     4955572     2594   380689    109609    547745    1013738   2053699     882884    397581178    1077366    2014260    5668689    346164    1476185     71646     823967    184913    5695961   26747865     25618   1224534      98288    2718256     551607     4276727    262573   12699667    359183    13221543   1282678   32465648       0    179591   22938041   1132677    2008988     992746        0    104976    216614     85331    2442956    30095     626376   141843     22375     163500   1294290    4331849    17904291    214107978   7528807    6738201    1122760    60065    209954   20968748     231549    31197502    2156464    2953404    560268    2118541    9424813     81280    497552    346686    316780    240536    6055    1369044    253105    850488   151426    651287    2719934    752765    1840744     6463288    413057    1422695    3587390    624686    2470691    361692    1287953     324595    161916        0     882555    12375956    204713    2508996   1059895    3970992    323519    13923107     91274    1350934     2419561    756607   10896985    4364595    3412178    171186     14092    6683265    33256580    1024172    2119215    4219554     993736    791130    268121    1081128   2121327    23716    81603   2188750    495063    2751079     75038    1364286    1607059    457502    4772962    492959    387936    148549     918129   10266371    2041878    3401788    2250772   11848341     65580    11834416    2027450     815451    6436949    2621476    1770596    1107843     984868    27479        0     761700    24000       0   138948   20545    60803         0    90518    393648   136611        0     34003    18555       0    29473    47091        0    26575   19059        0        0       0      0        0    57059     63559       0       0    100000      0      0        0    59364        0     90970    16898    18401    8373    43904    6693   139047    1844    3989    165944    5753    1085356   12788    2572   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1827    3384173    1736131    450959     602355    440655   37000     331195   3486512     938144     998851    3652545     669719    1707155    20602639   2256379     64474    889260    2510801    25608    1158658     5034351     2639   378788    109193    559994    1050844   2065194     902887    400410677    1075516    2041117    5757277    351735    1526483     73192     867122    184933    5769720   27067367     26110   1236504      99923    2723162     560687     4290665    273553   12784295    363528    13376719   1302620   32672585       0    183409   23233511   1143071    2007816     994218        0    105263    216356     86185    2465457    30211     631756   138153     22688     168776   1305684    4363586    18034751    214970784   7602453    6768346    1127794    59841    209954   21103723     234062    31230535    2176253    2969061    565410    2123334    9429790     81280    502291    349194    317323    241544    6098    1396842    249415    863057   155903    661965    2725122    759673    1868367     6442885    416693    1425935    3601129    625639    2539037    358300    1315881     331300    159770        0     886342    12422381    208001    2539531   1075628    3986183    324447    13968957     91937    1356670     2462598    756893   10977426    4367869    3431743    176371     14092    6733548    33508645    1041028    2123953    4235916     991069    790609    271622    1095244   2117044    23885    81750   2196866    499422    2781877     74645    1368885    1614203    459449    4791185    497483    391496    150515     925511   10298771    2047163    3469774    2276631   11957068     67522    12173666    2046056     832871    6418125    2626251    1810154    1124754     968938    27500        0     768339    24000       0   139777   20645    61460         0    92067    392435   136851        0     34718    18551       0    29763    47083        0    26710   19386        0        0       0      0        0    57178     64172       0       0    100000      0      0        0    59993        0     91474    16980    18490    8475    44163    6849   141235    1845    4008    165944    5797    1089564   12833    2585   905       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
