scopeid|id|name|postcode|website|wda_id
22_SBAA|17|Plœuc-L'Hermitage|0|""|6616117
22_SBAA|18|Ploufragan|22440|http://www.ploufragan.fr|6429072
22_SBAA|19|Plourhan|0|""|6616120
22_SBAA|20|Pordic|0|""|6429102
22_SBAA|21|Quintin|0|""|6453804
22_SBAA|22|Saint-Bihy|0|""|6429118
22_SBAA|23|Saint-Brandan|22800|""|6429119
22_SBAA|1|Saint-Brieuc|22000|http://www.saint-brieuc.fr/|6453805
22_SBAA|24|Saint-Carreuc|0|""|6429121
22_SBAA|25|Saint-Donan|0|""|6429127
22_SBAA|26|Saint-Gildas|0|""|6453806
22_SBAA|27|Saint-Julien|0|""|6454037
22_SBAA|28|Saint-Quay-Portrieux|0|""|6429154
22_SBAA|29|Trégueux|22950|http://www.tregueux.org|6616127
22_SBAA|30|Trémuson|0|""|6429189
22_SBAA|31|Tréveneuc|0|""|6429192
22_SBAA|32|Yffiniac|22120|http://www.yffiniac.com|6429199
67_strasbourg|3|Achenheim|67204|""|6452467
67_strasbourg|4|Bischheim|67800|""|6450593
67_strasbourg|5|Blaesheim|67113|""|6450599
67_strasbourg|6|Breuschwickersheim|67112|""|6450609
67_strasbourg|7|Eckbolsheim|67201|""|6441080
67_strasbourg|8|Eckwersheim|67550|""|6441081
67_strasbourg|9|Entzheim|67960|""|6441085
67_strasbourg|10|Eschau|67114|""|6441091
67_strasbourg|11|Fegersheim|67640|""|6441096
67_strasbourg|12|Geispolsheim|67118|""|6441110
67_strasbourg|13|Hangenbieten|67980|""|6441133
67_strasbourg|14|Hœnheim|67800|""|6614943
67_strasbourg|15|Holtzheim|67810|""|6441156
67_strasbourg|16|Illkirch-Graffenstaden|67400|""|6441162
67_strasbourg|35|Kehl|0|""|
67_strasbourg|17|Kolbsheim|67120|""|6441183
67_strasbourg|19|La Wantzenau|67610|""|6456347
67_strasbourg|18|Lampertheim|67450|""|6441191
67_strasbourg|21|Lingolsheim|67380|""|6441200
67_strasbourg|20|Lipsheim|67640|""|6441201
67_strasbourg|22|Mittelhausbergen|67206|""|6441226
67_strasbourg|23|Mundolsheim|67450|""|6441235
67_strasbourg|24|Niederhausbergen|67207|""|6441247
67_strasbourg|25|Oberhausbergen|67205|""|6441261
67_strasbourg|26|Oberschaeffolsheim|67203|""|6441266
67_strasbourg|27|Osthoffen|67990|""|6441277
67_strasbourg|28|Ostwald|67540|""|6441279
67_strasbourg|29|Plobsheim|67115|""|6441289
67_strasbourg|30|Reichstett|67116|""|6441298
67_strasbourg|2|Schiltigheim|67300|http://www.ville-schiltigheim.fr/|6441347
67_strasbourg|31|Souffelweyersheim|67460|""|6441364
67_strasbourg|1|Strasbourg|67000|www.strasbourg.eu|6441375
67_strasbourg|32|Vendenheim|67550|""|6441394
67_strasbourg|33|Wolfisheim|67202|""|6441426
60_SudOise|1|Avilly-Saint-Léonard|60300|""|6450108
60_SudOise|0|Lamorlaye|60260|""|6614547
34_setethau|4|Balaruc-le-Vieux|34540|http://www.ville-balaruclevieux.fr/|6448458
34_setethau|3|Balaruc-les-Bains|34540|http://www.ville-balaruc-les-bains.com/|6448457
34_setethau|5|Bouzigues|34140|http://www.bouzigues.fr/|6448467
34_setethau|2|Frontignan|34110|http://www.frontignan.fr/|6432511
34_setethau|6|Gigean|34770|http://www.ville-gigean.fr/|6432515
34_setethau|7|Loupian|34140|http://www.loupian.fr/|6432540
34_setethau|8|Marseillan|34340|http://www.ville-marseillan.fr/|6432546
34_setethau|9|Mèze|34140|https://www.ville-meze.fr/|6432551
34_setethau|10|Mireval|34110|http://www.mireval34.fr/|6454032
34_setethau|11|Montbazin|34560|http://www.montbazin.fr/|6432556
34_setethau|12|Poussan|34560|http://www.ville-poussan.fr/|6432593
34_setethau|1|Sète|34200|http://www.ville-sete.fr/|6432661
34_setethau|13|Vic-la-Gardiole|34110|http://www.viclagardiole.net/|6432685
34_setethau|14|Villeveyrac|34560|http://www.villeveyrac.fr/|6432691
10_troyes|1|Troyes|10000|https://vigilo.troyesenselle.fr|6453634
56_vannes|2|Arradon|56610|http://www.arradon.com/|6452402
56_vannes|5|Arzon|56640|www.arzon.fr|6452404
56_vannes|6|Baden|56870|www.baden.fr|6455365
56_vannes|7|Brandivy|56390|www.brandivy.fr|6449831
56_vannes|8|Colpo|56390|www.colpo.fr|6449843
56_vannes|9|Elven|56250|www.elven.fr|6455180
56_vannes|10|Grand-Champ|56390|www.GrandChamp.fr|6455182
56_vannes|11|Île-d'Arz|56840|www.iledarz.fr|6617123
56_vannes|12|Île-aux-Moines|56780|www.mairie-ileauxmoines.fr|6617122
56_vannes|13|La Trinité-Surzur|56190|www.latrinitesurzur.fr|6456223
56_vannes|14|Larmor-Baden|56870|www.larmorbaden.com|6437286
56_vannes|15|Le Bono|56400|www.lebono.fr|6617131
56_vannes|16|Le Hézo|56450|www.lehezo.com|6456988
56_vannes|17|Le Tour-du-Parc|56370|www.letourduparc.fr|6456221
56_vannes|18|Locmaria-Grand-Champ|56390|www.locmariagrandchamp.fr|6437293
56_vannes|19|Locqueltas|56390|www.locqueltas.fr|6454336
56_vannes|20|Meucon|56890|www.meucon.fr|6437308
56_vannes|21|Monterblanc|56250|www.monterblanc.fr|6437313
56_vannes|22|Plaudren|56420|www.plaudren.fr|6437330
56_vannes|23|Plescop|56890|www.plescop.fr|6437331
56_vannes|24|Ploeren|56880|www.ploeren.fr|6437337
