date,cases,recovered,deaths,ratio_cases,ratio_recovered,ratio_deaths,LOC_ID,country_region,province_state,lat,long,zone,population
2020-01-22,0,0,0,0.0,0.0,0.0,262,Djibouti,"",11.8251,42.5903,country,988002
2020-01-22,0,0,0,0.0,0.0,0.0,212,Dominica,"",15.415,-61.371,country,71991
2020-01-22,0,0,0,0.0,0.0,0.0,214,"Dominican Republic","",18.7357,-70.1627,country,10847904
2020-01-22,0,0,0,0.0,0.0,0.0,218,Ecuador,"",-1.8312,-78.1834,country,17643060
2020-01-22,0,0,0,0.0,0.0,0.0,818,Egypt,"",26.820553,30.802498,country,102334403
2020-01-22,0,0,0,0.0,0.0,0.0,222,"El Salvador","",13.7942,-88.8965,country,6486201
2020-01-22,0,0,0,0.0,0.0,0.0,226,"Equatorial Guinea","",1.6508,10.2679,country,1402985
2020-01-22,0,0,0,0.0,0.0,0.0,232,Eritrea,"",15.1794,39.7823,country,3546427
2020-01-22,0,0,0,0.0,0.0,0.0,233,Estonia,"",58.5953,25.0136,country,1326539
2020-01-22,0,0,0,0.0,0.0,0.0,748,Eswatini,"",-26.5225,31.4659,country,1160164
2020-01-22,0,0,0,0.0,0.0,0.0,231,Ethiopia,"",9.145,40.4897,country,114963583
2020-01-22,0,0,0,0.0,0.0,0.0,242,Fiji,"",-17.7134,178.065,country,896444
2020-01-22,0,0,0,0.0,0.0,0.0,246,Finland,"",61.92411,25.748151,country,5540718
2020-01-22,0,0,0,0.0,0.0,0.0,250,France,"",46.2276,2.2137,country,65273512
2020-01-22,0,0,0,0.0,0.0,0.0,254,France,"French Guiana",4.0,-53.0,state,298682
2020-01-22,0,0,0,0.0,0.0,0.0,258,France,"French Polynesia",-17.6797,149.4068,state,280904
2020-01-22,0,0,0,0.0,0.0,0.0,312,France,Guadeloupe,16.265,-61.551,state,400127
2020-01-22,0,0,0,0.0,0.0,0.0,474,France,Martinique,14.6415,-61.0242,state,375265
2020-01-22,0,0,0,0.0,0.0,0.0,175,France,Mayotte,-12.8275,45.166244,state,272813
2020-01-22,0,0,0,0.0,0.0,0.0,540,France,"New Caledonia",-20.904305,165.618042,state,285491
2020-01-22,0,0,0,0.0,0.0,0.0,638,France,Reunion,-21.1151,55.5364,state,895308
2020-01-22,0,0,0,0.0,0.0,0.0,652,France,"Saint Barthelemy",17.9,-62.8333,state,9885
2020-01-22,0,0,0,0.0,0.0,0.0,666,France,"Saint Pierre and Miquelon",46.8852,-56.3159,state,5795
2020-01-22,0,0,0,0.0,0.0,0.0,663,France,"St Martin",18.0708,-63.0501,state,38659
2020-01-22,0,0,0,0.0,0.0,0.0,266,Gabon,"",-0.8037,11.6094,country,2225728
2020-01-22,0,0,0,0.0,0.0,0.0,270,Gambia,"",13.4432,-15.3101,country,2416664
2020-01-22,0,0,0,0.0,0.0,0.0,268,Georgia,"",42.3154,43.3569,country,3989175
2020-01-22,0,0,0,0.0,0.0,0.0,276,Germany,"",51.165691,10.451526,country,83783945
2020-01-22,0,0,0,0.0,0.0,0.0,288,Ghana,"",7.9465,-1.0232,country,31072945
2020-01-22,0,0,0,0.0,0.0,0.0,300,Greece,"",39.0742,21.8243,country,10423056
2020-01-22,0,0,0,0.0,0.0,0.0,308,Grenada,"",12.1165,-61.679,country,112519
2020-01-22,0,0,0,0.0,0.0,0.0,320,Guatemala,"",15.7835,-90.2308,country,17915567
2020-01-22,0,0,0,0.0,0.0,0.0,324,Guinea,"",9.9456,-9.6966,country,13132792
2020-01-22,0,0,0,0.0,0.0,0.0,624,Guinea-Bissau,"",11.8037,-15.1804,country,1967998
2020-01-22,0,0,0,0.0,0.0,0.0,328,Guyana,"",4.860416,-58.93018,country,786559
2020-01-22,0,0,0,0.0,0.0,0.0,332,Haiti,"",18.9712,-72.2852,country,11402533
2020-01-22,0,0,0,0.0,0.0,0.0,336,"Holy See","",41.9029,12.4534,country,809
2020-01-22,0,0,0,0.0,0.0,0.0,340,Honduras,"",15.2,-86.2419,country,9904608
