# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: select GEOID, iso3, country, capital, continentname,  population FROM v_geonames_country ORDER BY continentname, population DESC LIMIT 10000;
# Source: https://download.geonames.org/export/dump/
# Grouped by continent

# columns: [[0, 7], [9, 15], [17, 61], [63, 83], [85, 100], [102, 114]]

# continentname=Africa
  GEOID  iso3    country                                       capital               continentname      population
3508796  DOM     Dominican Republic                            Santo Domingo         North America        10627165
3608932  HND     Honduras                                      Tegucigalpa           North America         9587522
3617476  NIC     Nicaragua                                     Managua               North America         6465513
3585968  SLV     El Salvador                                   San Salvador          North America         6420744
3624060  CRI     Costa Rica                                    San Jose              North America         4999441
3703430  PAN     Panama                                        Panama City           North America         4176873
4566966  PRI     Puerto Rico                                   San Juan              North America         3195153
3489940  JAM     Jamaica                                       Kingston              North America         2934855
3573591  TTO     Trinidad and Tobago                           Port of Spain         North America         1389858
3579143  GLP     Guadeloupe                                    Basse-Terre           North America          443000
3570311  MTQ     Martinique                                    Fort-de-France        North America          432900
3572887  BHS     Bahamas                                       Nassau                North America          385640
3582678  BLZ     Belize                                        Belmopan              North America          383071
3374084  BRB     Barbados                                      Bridgetown            North America          286641
3576468  LCA     Saint Lucia                                   Castries              North America          181889
7626836  CUW     Curacao                                       Willemstad            North America          159849
3580239  GRD     Grenada                                       St. George's          North America          111454
3577815  VCT     Saint Vincent and the Grenadines              Kingstown             North America          110211
4796775  VIR     U.S. Virgin Islands                           Charlotte Amalie      North America          106977
3577279  ABW     Aruba                                         Oranjestad            North America          105845
3576396  ATG     Antigua and Barbuda                           St. John's            North America           96286
3575830  DMA     Dominica                                      Roseau                North America           71625
3580718  CYM     Cayman Islands                                George Town           North America           64174
3573345  BMU     Bermuda                                       Hamilton              North America           63968
3425505  GRL     Greenland                                     Nuuk                  North America           56025
3575174  KNA     Saint Kitts and Nevis                         Basseterre            North America           52441
7609695  SXM     Sint Maarten                                  Philipsburg           North America           40654
3576916  TCA     Turks and Caicos Islands                      Cockburn Town         North America           37665
3578421  MAF     Saint Martin                                  Marigot               North America           37264
3577718  VGB     British Virgin Islands                        Road Town             North America           29802
7626844  BES     Bonaire, Saint Eustatius and Saba             ?                     North America           18012
3573511  AIA     Anguilla                                      The Valley            North America           13254
3578097  MSR     Montserrat                                    Plymouth              North America            9341
3578476  BLM     Saint Barthelemy                              Gustavia              North America            8450
3424932  SPM     Saint Pierre and Miquelon                     Saint-Pierre          North America            7012
7909809  ANT     Netherlands Antilles                          Willemstad            North America               0


# continentname=Oceania

2077456  AUS     Australia                                     Canberra              Oceania              24992369
2088628  PNG     Papua New Guinea                              Port Moresby          Oceania               8606316
2186224  NZL     New Zealand                                   Wellington            Oceania               4885500
1966436  TLS     East Timor                                    Dili                  Oceania               1267972
2205218  FJI     Fiji                                          Suva                  Oceania                883483
2103350  SLB     Solomon Islands                               Honiara               Oceania                652858
2134431  VUT     Vanuatu                                       Port Vila             Oceania                292680
2139685  NCL     New Caledonia                                 Noumea                Oceania                284060
4030656  PYF     French Polynesia                              Papeete               Oceania                277679
4034894  WSM     Samoa                                         Apia                  Oceania                196130
4043988  GUM     Guam                                          Hagatna               Oceania                165768
4030945  KIR     Kiribati                                      Tarawa                Oceania                115847
2081918  FSM     Micronesia                                    Palikir               Oceania                112640
4032283  TON     Tonga                                         Nuku'alofa            Oceania                103197
2080185  MHL     Marshall Islands                              Majuro                Oceania                 58413
4041468  MNP     Northern Mariana Islands                      Saipan                Oceania                 56882
5880801  ASM     American Samoa                                Pago Pago             Oceania                 55465
1899402  COK     Cook Islands                                  Avarua                Oceania                 21388
1559582  PLW     Palau                                         Melekeok              Oceania                 17907
4034749  WLF     Wallis and Futuna                             Mata Utu              Oceania                 16025
2110425  NRU     Nauru                                         Yaren                 Oceania                 12704
2110297  TUV     Tuvalu                                        Funafuti              Oceania                 11508
4036232  NIU     Niue                                          Alofi                 Oceania                  2166
2155115  NFK     Norfolk Island                                Kingston              Oceania                  1828
4031074  TKL     Tokelau                                       ?                     Oceania                  1466
4030699  PCN     Pitcairn                                      Adamstown             Oceania                    46
5854968  UMI     United States Minor Outlying Islands          ?                     Oceania                     0


# continentname=South America

3469034  BRA     Brazil                                        Brasilia              South America       209469333
3686110  COL     Colombia                                      Bogota                South America        49648685
3865483  ARG     Argentina                                     Buenos Aires          South America        44494502
3932488  PER     Peru                                          Lima                  South America        31989256
3625428  VEN     Venezuela                                     Caracas               South America        28870195
3895114  CHL     Chile                                         Santiago              South America        18729160
3658394  ECU     Ecuador                                       Quito                 South America        17084357
3923057  BOL     Bolivia                                       Sucre                 South America        11353142
3437598  PRY     Paraguay                                      Asuncion              South America         6956071
3439705  URY     Uruguay                                       Montevideo            South America         3449299
3378535  GUY     Guyana                                        Georgetown            South America          779004
3382998  SUR     Suriname                                      Paramaribo            South America          575991
3381670  GUF     French Guiana                                 Cayenne               South America          195506
3474414  FLK     Falkland Islands                              Stanley               South America            2638
