# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       gbd_cause                                   Maternal hypertensive disorders                                                                                                                                                                  1               6468         231
owid       gbd_cause                                   Maternal obstructed labor and uterine rupture                                                                                                                                                    1               6468         231
owid       gbd_cause                                   Maternal sepsis and other maternal infections                                                                                                                                                    1               6468         231
owid       gbd_cause                                   Measles                                                                                                                                                                                          1              38808         231
owid       gbd_cause                                   Meningitis                                                                                                                                                                                       1              51744         231
owid       gbd_cause                                   Meningococcal meningitis                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Mental and substance use disorders                                                                                                                                                               1             109020         231
owid       gbd_cause                                   Mesothelioma                                                                                                                                                                                     1               6468         231
owid       gbd_cause                                   Motor vehicle road injuries                                                                                                                                                                      1               6468         231
owid       gbd_cause                                   Motorcyclist road injuries                                                                                                                                                                       1               6468         231
owid       gbd_cause                                   Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance                                                                                                                    1               6468         231
owid       gbd_cause                                   Multiple myeloma                                                                                                                                                                                 1               6468         231
owid       gbd_cause                                   Musculoskeletal disorders                                                                                                                                                                        1              12936         231
owid       gbd_cause                                   Nasopharynx cancer                                                                                                                                                                               1              19404         231
owid       gbd_cause                                   Neglected tropical diseases and malaria                                                                                                                                                          1              12936         231
owid       gbd_cause                                   Neonatal disorders                                                                                                                                                                               1              32340         231
owid       gbd_cause                                   Neonatal encephalopathy due to birth asphyxia and trauma                                                                                                                                         1              12936         231
owid       gbd_cause                                   Neonatal preterm birth complications                                                                                                                                                             1              12936         231
owid       gbd_cause                                   Neonatal sepsis and other neonatal infections                                                                                                                                                    1               6468         231
owid       gbd_cause                                   Neoplasms                                                                                                                                                                                        1             109956         231
owid       gbd_cause                                   Neurological disorders                                                                                                                                                                           1              12936         231
owid       gbd_cause                                   Non-Hodgkin lymphoma                                                                                                                                                                             1               6468         231
owid       gbd_cause                                   Non-communicable diseases                                                                                                                                                                        1              77616         231
owid       gbd_cause                                   Non-melanoma skin cancer                                                                                                                                                                         1              19404         231
owid       gbd_cause                                   Nutritional deficiencies                                                                                                                                                                         1              64680         231
owid       gbd_cause                                   Opioid use disorders                                                                                                                                                                             1              19404         231
owid       gbd_cause                                   Other communicable, maternal, neonatal, and nutritional diseases                                                                                                                                 1              12312         228
