# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       owid                                        Gini coefficients for lifetime inequality - Peltzman (2009)                                                                                                                                      1                320          10
owid       owid                                        Gini index in 1980, 1990 & 2015 - GCIP (2018)                                                                                                                                                    1               1201         161
owid       owid                                        Global Carbon Budget (GCP, 2020)                                                                                                                                                                 1                438           1
owid       owid                                        Global Carbon Budget for 2C - IPCC (2013)                                                                                                                                                        1                  3           3
owid       owid                                        Global Corruption Barometer - Transparancy International (2017)                                                                                                                                  1               1242         135
owid       owid                                        Global Data Set on Education Quality (1965-2015) - Altinok, Angrist, and Patrinos (2018)                                                                                                         1               2508         158
owid       owid                                        Global Health Indicators - Number of People (2020)                                                                                                                                               1              17247         244
owid       owid                                        Global Health Observatory - World Health Organization (2021.03)                                                                                                                                  1              60946         200
owid       owid                                        Global Hunger Index in 1992 (listed 2017) (Global Hunger Index 2017)                                                                                                                             1                 95          95
owid       owid                                        Global Hunger Index in 2017 (listed 2017) (Global Hunger Index 2017)                                                                                                                             1                119         119
owid       owid                                        Global Hunger Index- IFPRI (2018)                                                                                                                                                                1                656         121
owid       owid                                        Global Preferences Survey (GPS) - Falk, Becker, Dohmen, Enke, Huffman, and Sunde (2018)                                                                                                          1                456          76
owid       owid                                        Global Primary Energy Consumption - Vaclav Smil (2017) & BP Statistics (2020)                                                                                                                    1               1440           1
owid       owid                                        Global Projection, Medium SSP2 - IIASA (2016)                                                                                                                                                    1                189           1
owid       owid                                        Global Revenue Statistics Database - OECD (2018)                                                                                                                                                 1               2083          81
owid       owid                                        Global Smallpox Cases                                                                                                                                                                            1                 97           1
owid       owid                                        Global Tuberculosis Report: Case notifications - WHO (2019)                                                                                                                                      1               1305         191
owid       owid                                        Global Tuberculosis Report: TB burden estimates - WHO (2019)                                                                                                                                     1              19587         216
owid       owid                                        Global agricultural land by crop - FAO (2017)                                                                                                                                                    1                540          10
owid       owid                                        Global agricultural production by farm size (Riccardi et al. 2018)                                                                                                                               1                143          11
owid       owid                                        Global airline traffic and capacity (ICAO, 2020)                                                                                                                                                 1                302           1
owid       owid                                        Global battle-related and 'one-sided violence' deaths since 1946 - PRIO/UCDP                                                                                                                     1                822           7
owid       owid                                        Global bleaching events (Hughes et al. 2018)                                                                                                                                                     1                370           5
owid       owid                                        Global child mortality (since 1800) - based on Gapminder and World Bank (2019)                                                                                                                   1                130           1
owid       owid                                        Global death rates from disasters (EMDAT; UN & HYDE)                                                                                                                                             1                755          11
owid       owid                                        Global deaths by cause and risk - Global Burden of Disease (2017)                                                                                                                                1               4683         223
owid       owid                                        Global education (OECD + IIASA (2016))                                                                                                                                                           1                 42           1
owid       owid                                        Global fish catch by end use (FishStat via SeaAroundUs)                                                                                                                                          1             151323         199
owid       owid                                        Global freshwater use since 1900 - IGB                                                                                                                                                           1                441           4
owid       owid                                        Global incidence and prevalence of active and latent tuberculosis - IHME (2016)                                                                                                                  1                108           1
owid       owid                                        Global literacy since 1800 (OWID based on OECD & UNESCO (2019))                                                                                                                                  1                 42           1
owid       owid                                        Global number of yaws cases - WHO Global Health Observatory (2018)                                                                                                                               1                 74          13
owid       owid                                        Global plastic production - Geyer et al. (2017)                                                                                                                                                  1                132           1
owid       owid                                        Global population trends - US Census Bureau (2017)                                                                                                                                               1                476           7
owid       owid                                        Global precipitation anomaly (NOAA)                                                                                                                                                              1                119           1
owid       owid                                        Global preterm birth estimates (WHO, 2018)                                                                                                                                                       1                638         191
owid       owid                                        Global primary energy share (Smil & BP)                                                                                                                                                          1                630           1
owid       owid                                        Global temperature anomaly - Met Office (HadCRUT4)                                                                                                                                               1               2040           4
owid       owid                                        Global warming potential factors (GWP100) - IPCC (2014)                                                                                                                                          1                  6           1
owid       owid                                        Global wildlife trade (Harfoot et al. 2018)                                                                                                                                                      1               1186           8
owid       owid                                        Global year of last polio case plus certification status - GPEI (2017)                                                                                                                           1              22464         208
owid       owid                                        Gold prices - Laurence & Williamson (2017)                                                                                                                                                       1                225           1
owid       owid                                        Google Mobility Trends (2020)                                                                                                                                                                    1             465885         132
owid       owid                                        Government Education Expenditure 1960-2010 - Szirmai (2015)                                                                                                                                      1                187          32
owid       owid                                        Government Expenditure - IMF based on Mauro et al. (2015)                                                                                                                                        1               7091         164
owid       owid                                        Government Revenue - Wallis (2000)                                                                                                                                                               1                 48           1
owid       owid                                        Government Spending - Roine, Vlachos, Waldenstrom (2009) and US Historical Tables (2016)                                                                                                         1               1043          15
owid       owid                                        Government expenditure and learning outcomes                                                                                                                                                     1                232         127
owid       owid                                        Government spending - OECD (2017)                                                                                                                                                                1               1388          42
owid       owid                                        Green Climate Fund Pledges - GCF                                                                                                                                                                 1                 83          42
owid       owid                                        Growth of cities - Bairoch (1988)                                                                                                                                                                1                127           7
owid       owid                                        Guinea Worm Cases - The Carter Center (2016)                                                                                                                                                     1                 27           1
owid       owid                                        Guinea Worm Cases - WHO (2018)                                                                                                                                                                   1                665          22
owid       owid                                        Guinea worm WHO certification status - WHO 2018                                                                                                                                                  1               4290         195
owid       owid                                        HALF Index (Land Use) - Alexander et al. (2016)                                                                                                                                                  1                171         171
owid       owid                                        HRV Transparency index - Hollyer, Rosendorff, and Vreeland (2014)                                                                                                                                1               3875         125
owid       owid                                        HadCRUT Temperature Anomaly                                                                                                                                                                      1              29566         199
owid       owid                                        Happiness predictors - World Happiness Report (2017)                                                                                                                                             1                  8           4
owid       owid                                        Harmonized Learning Outcomes (HLO) - Angrist, Djankov, Goldberg, and Patrinos (2021)                                                                                                             1               6211         163
owid       owid                                        Health Coverage - ILO (2014)                                                                                                                                                                     1                162         162
owid       owid                                        Health Expenditure - Tanzi & Schuktnecht (2000)                                                                                                                                                  1                 83          17
owid       owid                                        Health Expenditure UK 1950-2012 - Office of Health Economics (2012)                                                                                                                              1                 27           1
owid       owid                                        Health Expenditure US 1929-2013 Private - US Census and WDI (2013)                                                                                                                               1                 17           1
owid       owid                                        Health Expenditure US 1929-2013 Public - US Census and WDI (2013)                                                                                                                                1                 17           1
owid       owid                                        Health Expenditure and Financing - OECDstat (2017)                                                                                                                                               1               1610          35
owid       owid                                        Health Insurance Coverage (Tanzi & Schuktnecht (2000)) (split)                                                                                                                                   1                 28          11
owid       owid                                        Health Insurance Coverage (US) - US Current Population Survey (2014)                                                                                                                             1                 84           1
owid       owid                                        Health expenditure per capita - World Bank WDI (2018)                                                                                                                                            1                233         233
owid       owid                                        Health expenditure per capita, PPP - World Bank (2016)                                                                                                                                           1               4170         221
owid       owid                                        Health provider absence rates - Chaudhury, Hammer, Kremer, Muralidharan, and Rogers (2006)                                                                                                       1                  5           5
owid       owid                                        Healthcare Access and Quality Index - IHME (2017)                                                                                                                                                1               1332         222
owid       owid                                        Healthcare capacity (OECD, Eurostat, WB, and other sources)                                                                                                                                      1               9911         243
owid       owid                                        Healthy Life Expectancy - IHME                                                                                                                                                                   1              18306         226
owid       owid                                        Heights of Early Europeans - based on Hermanussen (2003) and the NCD RisC (2017)                                                                                                                 1                227           1
owid       owid                                        Hidden Hunger Index in pre-school children - Muthayya et al. (2013)                                                                                                                              1                149         149
owid       owid                                        Historical Index of Human Development (without GDP) - Prados de la Escosura                                                                                                                      1               3211         164
owid       owid                                        Historical Index of Human Development - Prados de la Escosura                                                                                                                                    1               3210         164
owid       owid                                        Historical employment and output by sector - OWID (2017)                                                                                                                                         1               6240          10
owid       owid                                        Historical estimates of number of people living at different income thresholds globally (OWID based on Maddison Project Database 2020, GCIP and van Zanden et al. (2014))                        1                 75           1
owid       owid                                        Historical gender equality index - How Was Life? (2014)                                                                                                                                          1                 48           8
owid       owid                                        Historical poverty rates by region (OWID based on Maddison Project Database 2020, van Zanden et al. (2014), de la Escosura (2012))                                                               1                360          12
owid       owid                                        Historical urban fraction estimates and total computed urban areas - HYDE 3.1 (2010)                                                                                                             1                636          27
owid       owid                                        Home production working hours per week in the US, by demographic group (Ramey (2009)) (split)                                                                                                    1                169           8
owid       owid                                        Homelessness and Precarious Housing - OECD (2016)                                                                                                                                                1                 12           6
owid       owid                                        Homelessness prevalence - Toro et al. (2007)                                                                                                                                                     1                  5           5
owid       owid                                        Homicide Rates - Clio Infra                                                                                                                                                                      1               5981         161
owid       owid                                        Homicide rates in Europe over long-term (Eisner & IHME)                                                                                                                                          1                206           5
owid       owid                                        Homosexuality Laws - OWID based on Kenny & Patel (2017)                                                                                                                                          1                201         201
owid       owid                                        Homosexuality opinions - WVS (1981-2016)                                                                                                                                                         1                446          99
owid       owid                                        Homosexuality public opinion - Pew Research (2013)                                                                                                                                               1                147          57
owid       owid                                        Household expenditure on Housing, water, electricity, gas and other fuels as a share of GDP - UN                                                                                                 1               1995          91
owid       owid                                        Households using solid fuels for cooking (Urban vs. Rural) - UN                                                                                                                                  1                 24          12
owid       owid                                        Households' actual and imputed rent as share of GDP - OECD                                                                                                                                       1               2931          33
owid       owid                                        How Europeans spend their time - European Commission (2004)                                                                                                                                      1                120          10
owid       owid                                        Hubbert's Peak - Cavallo & EIA                                                                                                                                                                   1                227           1
owid       owid                                        Human Capital Index (World Bank, 2018)                                                                                                                                                           1                410         157
owid       owid                                        Human Capital in Long-Run - Lee-Lee (2016)                                                                                                                                                       1              10941         111
owid       owid                                        Human Development Index - UNDP (2018)                                                                                                                                                            1               5001         190
owid       owid                                        Human Height - NCD RisC (2017)                                                                                                                                                                   1             105456         208
owid       owid                                        Human Height - University of Tuebingen (2015)                                                                                                                                                    1               1250         152
owid       owid                                        Human Rights Scores - Schnakenberg and Fariss (2014), Fariss (2019)                                                                                                                              1              11717         201
owid       owid                                        Humanitarian Aid received (OECD, 2018)                                                                                                                                                           1               1273         131
owid       owid                                        Humanitarian aid received per capita (OECD and UN, 2018)                                                                                                                                         1               6235         164
owid       owid                                        Humanitarian and food aid received (OECD, 2018)                                                                                                                                                  1               1834         152
owid       owid                                        Hurricane Forecasting Error, NHC (2019)                                                                                                                                                          1                656           3
owid       owid                                        Hurricane Landfalls, Continental US (HURDAT, NOAA)                                                                                                                                               1                835           1
owid       owid                                        Hypothetical global CO2 emissions - CDIAC (2014)                                                                                                                                                 1                210         210
owid       owid                                        Hypothetical meat consumption - OWID based on FAO & UN                                                                                                                                           1              10393         217
owid       owid                                        IEA Energy Coverage                                                                                                                                                                              1                143         143
owid       owid                                        IQ Data - Pietschnig and Voracek (2015)                                                                                                                                                          1                 98          31
owid       owid                                        Incidence of child labor (England, Italy, US, World) - Cunningham and Viazzo (1996) and others                                                                                                   1                 30           5
owid       owid                                        Incidence of managerial or professional jobs and collective-bargaining by gender - Blau and Kahn (2017)                                                                                          1                 16           1
owid       owid                                        Income Classification - World Bank (2017)                                                                                                                                                        1               6630         221
owid       owid                                        Income Inequality - World Bank (2016)                                                                                                                                                            1               1255         158
owid       owid                                        Incomes across the Distribution Database (Nolan, Thewissen, Roser) in levels (2016)                                                                                                              1               1800          27
owid       owid                                        Incomes across the Distribution Database (authored by Nolan, Thewissen, Roser; based on LIS) indexed to the first year (2016)                                                                    1               1620          27
owid       owid                                        Incomes across the Distribution Database, Gini (2016)                                                                                                                                            1                351          27
owid       owid                                        Indonesian deforestation drivers (Austin et al. (2019)                                                                                                                                           1                112           7
owid       owid                                        Industry value added as share of total value added (KLEMS 2008)                                                                                                                                  1              14046          30
owid       owid                                        Inequality in Latin America - SEDLAC (CEDLAS and the World Bank)                                                                                                                                 1                344          18
owid       owid                                        Inequality in human development indices - UNDP (2019)                                                                                                                                            1                384         200
owid       owid                                        Inequality pre- and post- taxes - OECD (2019)                                                                                                                                                    1                315          36
owid       owid                                        Infant Mortality Rates in UK (ONS, 2018)                                                                                                                                                         1                 96           1
owid       owid                                        Infant mortality rate (IHME - 2017)                                                                                                                                                              1               6356         227
owid       owid                                        Inheritance for women - How Was Life? (2014)                                                                                                                                                     1                316         159
owid       owid                                        Integrated Network for Societal Conflict Research: Political Instability Task Force (PITF)                                                                                                       1               1860          31
owid       owid                                        Intercontinental Trade - Costa, Palma and Reis (2015)                                                                                                                                            1                 16           5
owid       owid                                        International Historical Statistics (Births per 1,000) - Brian Mitchell (2013)                                                                                                                   1               8091          71
owid       owid                                        International Historical Statistics (Deaths per 1,000) - Brian Mitchell (2013)                                                                                                                   1               8035          70
owid       owid                                        International Historical Statistics: European trade - Brian Mitchell (2015)                                                                                                                      1                512           7
owid       owid                                        International Whaling Commission Status (IWC, 2020)                                                                                                                                              1                 76          76
owid       owid                                        International Whaling Commissions Members by Year                                                                                                                                                1               2464          75
owid       owid                                        Internet Users by World Region - World Bank (2016)                                                                                                                                               1                165           7
owid       owid                                        Interpersonal Trust - General Social Survey (GSS) (2016)                                                                                                                                         1                 26           1
owid       owid                                        Investment in Renewables by Region - IRENA (2016)                                                                                                                                                1                 96           8
owid       owid                                        Investment in renewables by technology - IRENA (2017)                                                                                                                                            1                 91           1
owid       owid                                        J. Doyne Farmer and Francois Lafond (2016)                                                                                                                                                       1               1256          66
owid       owid                                        JOE - NA poverty estimates for $5 -  share in world pop by region                                                                                                                                1                150           1
owid       owid                                        JOE - Povcal data number below different thresholds $1-$30                                                                                                                                       1                259           1
owid       owid                                        JOE_to_delete                                                                                                                                                                                    1                304           8
owid       owid                                        Job search methods US - Pew Research Center (2015)                                                                                                                                               1                  7           1
owid       owid                                        Key internet statistics - ITU (2019)                                                                                                                                                             1                452           7
owid       owid                                        LGBT Marital Status in the US (Gallup 2017)                                                                                                                                                      1                 24           1
owid       owid                                        LIS Key Figures - Luxumbourg Income Study                                                                                                                                                        1                592          48
owid       owid                                        Labor Force Participation Rates of Men Age 65 and Over in the US - OWID based on Short (2002) and OECD                                                                                           1                 30           1
owid       owid                                        Labor Productivity - The Conference Board Total Economy Database (2016)                                                                                                                          1               3539          70
owid       owid                                        Labor productivity per hour (Hill, Thomas, Dimsdale (2016), Bank of England)                                                                                                                     1                257           1
owid       owid                                        Labour Force Dependency Ratio (IIASC)                                                                                                                                                            1                870          29
owid       owid                                        Labour cost ratio (45-54 year-old population) 2009 - OECD (2012)                                                                                                                                 1                 29          29
owid       owid                                        Land Use Data - HYDE (2017)                                                                                                                                                                      1               6176          14
owid       owid                                        Land spared from gains in cereal crop yields (FAO 2021)                                                                                                                                          1                118           1
owid       owid                                        Land sparing due to crop yield increases (UN FAO, 2021)                                                                                                                                          1                 18           9
owid       owid                                        Land under cereal production index - World Bank (2017)                                                                                                                                           1              10422         193
owid       owid                                        Land use since 10000BC (Ellis et al. (2020))                                                                                                                                                     1                584           8
owid       owid                                        Largest cities by population density - UN Habitat (2014)                                                                                                                                         1                100         100
owid       owid                                        Laws on child marriage - Gender, Institutions and Development Database (GID-DB, 2019)                                                                                                            1                180         180
owid       owid                                        Learning-Adjusted Years of Schooling - World Bank (2018)                                                                                                                                         1                157         157
owid       owid                                        Legality Status of Abortion - Guttmacher Institute                                                                                                                                               1                198         198
owid       owid                                        Length of the work day: from 1890s to 1991 - Costa (2000)                                                                                                                                        1                 53          11
owid       owid                                        Length of the workday in 1880 - Atack and Bateman (1992)                                                                                                                                         1                 63          21
owid       owid                                        Levels of Urbanization and per capita GNP in Various Regions - Bairoch (1988)                                                                                                                    1                110           5
